12:37:48.807 [main] INFO  mh.clients.Clients - start
12:37:57.081 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-08","2957")
12:37:57.086 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-09","2996")
12:37:57.090 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-10","3046")
12:37:57.094 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-11","3064")
12:37:57.097 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-12","3347")
12:37:57.102 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-13","3398")
12:37:57.106 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-14","3235")
12:37:57.111 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-15","2992")
12:37:57.115 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-16","2713")
12:37:57.119 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-17","2759")
12:37:57.122 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-18","2908")
12:37:57.125 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-19","2824")
12:37:57.129 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-20","3293")
12:37:57.132 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-21","3189")
12:37:57.136 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-22","2929")
12:37:57.139 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-23","3018")
12:37:57.143 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-24","3091")
12:37:57.148 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-25","3102")
12:37:57.151 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-26","3049")
12:37:57.155 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-27","2464")
12:37:57.158 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-28","2437")
12:37:57.166 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-02-29","2658")
12:37:57.171 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-01","2190")
12:37:57.175 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-02","2564")
12:37:57.178 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-03","2178")
12:37:57.183 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-04","1876")
12:37:57.186 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-05","2123")
12:37:57.190 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-06","2543")
12:37:57.196 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-07","2716")
12:37:57.202 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-08","2794")
12:37:57.207 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-09","2783")
12:37:57.211 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-10","2729")
12:37:57.214 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-11","2968")
12:37:57.218 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-12","3069")
12:37:57.221 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-13","2804")
12:37:57.225 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-14","2806")
12:37:57.228 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-15","2887")
12:37:57.231 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-16","2969")
12:37:57.235 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-17","2826")
12:37:57.238 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-18","3070")
12:37:57.244 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-19","3079")
12:37:57.248 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-20","3010")
12:37:57.251 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-21","2617")
12:37:57.256 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-22","2679")
12:37:57.260 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-23","2881")
12:37:57.263 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-24","2857")
12:37:57.267 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-25","2970")
12:37:57.270 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-26","3176")
12:37:57.275 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-27","2963")
12:37:57.280 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-28","2770")
12:37:57.284 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-29","2741")
12:37:57.289 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-30","2729")
12:37:57.294 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-03-31","2583")
12:37:57.298 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-01","2807")
12:37:57.303 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-02","2989")
12:37:57.308 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-03","2853")
12:37:57.312 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-04","2608")
12:37:57.317 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-05","2622")
12:37:57.321 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-06","2801")
12:37:57.328 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-07","2889")
12:37:57.332 [main] INFO  mh.clients.SqlExecute - insert into table_11 values("2020-04-08","2943")
